,Power(uW),Exposure(ms)
0,1.5e-05,66.0
1,3.2e-05,33.0
2,5.2000000000000004e-05,19.0
3,0.000103,9.0
4,0.000193,4.9
5,0.0005020000000000001,1.89
6,0.0017000000000000001,0.56
7,0.001,0.93
